Name of College	Type	SM (State merit)	EZ (Ezhava)	MU (Muslim)	LA (Latin Catholic and Anglo Indian)	BH (Other Backward Hindu)	DV (Dheevara and related communities)	VK (vishwakarma and related communities)	BX (Other backward X'ian)	KN (Kusavan related communities)	KU (Kudumi)	SC (Scheduled caste)	ST (Scheduled tribe)	EW (Economically Weaker Section)	Special Categories	Course
Institute of Engineering and Technology, Malappuram	N	52356	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
University College of Engineering,Thodupuzha	N	50075	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
College of Engineering, Vadakara	N	41145	45103	42764	-	41638	51954	44003	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Al-Ameen Engineering College, Palakkad	S	45080	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Albertian Institute of Science and Technology, Kochi	S	52084	-	-	-	-	-	-	-	-	-	-	-	-	FW:22896	EE:Electrical & Electronics Engineering
Amal Jyothi College of Engineering, Kottayam	S	43217	49517	50097	-	48958	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Adi Shankara Institute of Engineering and Technology, Ernakulam	S	31605	43901	38795	35149	-	-	37320	-	-	-	45902	-	43890		EE:Electrical & Electronics Engineering
Ahalia School of Engineering and Technology, Palakkad	S	52361	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
AWH Engineering College, Kozhikkode	S	50740	-	-	-	-	-	-	-	-	-	-	-	-	FW:39960	EE:Electrical & Electronics Engineering
Bishop Jerome Institute, Kollam	S	46495	-	46565	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Baselios Mathews II College of Engineering, Kollam	S	50914	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Christ College of Engineering, Thrissur	S	26453	27692	34776	41827	33298	40530	-	-	-	-	46954	-	-	FW:14568	EE:Electrical & Electronics Engineering
College of Engineering and Technology, Payyanur	S	46235	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Carmel College of Engineering and Technology,Alappuzha	S	50993	-	-	-	-	-	-	-	-	-	-	-	-	FW:38917	EE:Electrical & Electronics Engineering
M. Dasan Institute of Technology, Kozhikode	S	51926	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Federal Institute of Science and Technology, Ernakulam	S	16510	18315	18137	-	22672	35577	18693	-	-	-	50119	-	20652	FW:11852	EE:Electrical & Electronics Engineering
Holy Grace Academy of Engineering, Thrissur	S	51710	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Ilahia College of Engineering and Technology, Ernakulam	S	50947	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
I E S College of Engineering, Thrissur	S	51122	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Jyothi Engineering College, Thrissur	S	41321	44770	49010	-	-	-	42658	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
KMCT College of Engineering, Kozhikode	S	50883	-	51555	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
K M E A Engineering College, Cochin	S	50565	-	-	-	-	-	-	-	-	-	51499	-	-	FW:41931	EE:Electrical & Electronics Engineering
Lourdes Matha College of Science and Technology, Thiruvananthapuram	S	45939	-	-	-	-	-	-	-	-	-	-	-	-	FW:10612	EE:Electrical & Electronics Engineering
Mar Baselios Christian College of Engineering and Technology,Idukki	S	51514	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Mar Baselios Institute of Technology and Science, Ernakulam	S	51094	-	-	-	-	-	-	-	-	-	-	-	-	FW:45889	EE:Electrical & Electronics Engineering
Mar Baselios College of Engineering and Technology, Thiruvananthapuram	S	28347	33874	40894	-	-	-	29467	40403	-	-	51746	-	-	FW:21789	EE:Electrical & Electronics Engineering
Marian Engineering College, Thiruvananthapuram	S	43107	50329	-	43621	-	-	-	-	-	-	-	-	-	FW:39010	EE:Electrical & Electronics Engineering
Musaliar College of Engineering and Technology, Pathanamthitta	S	-	-	-	-	-	-	-	-	-	-	-	-	-	FW:46275	EE:Electrical & Electronics Engineering
Mohandas College of Engineering and Technology, Thiruvananthapuram	S	51568	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
MES Institute of Technology and Management, Kollam	S	51553	-	-	-	-	-	-	-	-	-	-	-	-	FW:19211	EE:Electrical & Electronics Engineering
M E S College of Engineering, Kuttippuram	S	37523	44514	39148	-	46229	-	-	-	-	-	-	-	-	FW:26048	EE:Electrical & Electronics Engineering
M G College of Engineering, Thiruvananthapuram	S	51491	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Saintgits College of Engineering, Kottayam	S	32243	37053	40583	-	36296	45686	-	-	-	-	-	-	-	FW:27085	EE:Electrical & Electronics Engineering
ACE College Of Engineering, Thiruvananthapuram	S	50984	-	-	-	-	-	-	-	-	-	-	-	-	FW:50680	EE:Electrical & Electronics Engineering
Mangalam College of Engineering, Kottayam	S	47878	-	-	-	-	-	-	-	-	-	-	-	-	FW:27110	EE:Electrical & Electronics Engineering
Malabar Institute of Technology, Kannur	S	46567	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Muthoot Institute of Technology and Science,Ernakulam	S	15395	16107	15801	17506	15442	-	-	19355	38316	37115	46660	-	33501	FW:10970	EE:Electrical & Electronics Engineering
Nehru College of Engineering and Research Centre, Thrissur	S	51241	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Providence College of Engineering, Chengannur	S	52248	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Rajagiri School of Engineering and Technology, Ernakulam	S	11497	12543	12453	-	-	19460	13313	-	-	-	49192	-	-	FW:11579	EE:Electrical & Electronics Engineering
Rajadhani Institute of Engineering and Technology, Thiruvananthapuram	S	52027	-	-	-	-	-	-	-	-	-	-	-	-	FW:48349	EE:Electrical & Electronics Engineering
Sree Buddha College of Engineering, Alappuzha	S	51295	-	-	-	-	-	-	-	-	-	-	-	-	FW:44427	EE:Electrical & Electronics Engineering
SCMS School of Engineering and Technology, Ernakulam	S	25469	26478	25749	-	32540	-	-	-	-	-	-	-	29616		EE:Electrical & Electronics Engineering
Sahrdaya College of Engineering and Technology, Thrissur	S	42114	42183	51807	-	-	-	-	-	-	-	51787	-	-	FW:33841	EE:Electrical & Electronics Engineering
Sarabhai Institute of Science and Technology, Thiruvananthapuram	S	44191	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
St Josephs College of Engineering and Technology, Palai	S	41180	44578	-	-	-	-	-	-	-	-	-	-	-	FW:31020	EE:Electrical & Electronics Engineering
Sree Narayana Guru College of Engineering and Technology, Kannur	S	52140	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Sree Narayana Gurukulam College of Engineering, Ernakulam	S	51958	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
SNM Institute of Management and Technology, Ernakulam	S	52050	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Sreepathy Institute of Management and Technology, Palakkad	S	51498	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
St. Thomas Institute For Science and Technology, Thiruvananthapuram	S	51084	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
TOMS College of Engineering,Kottayam	S	51845	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Trinity College of Engineering, Thiruvananthapuram	S	52481	-	-	-	-	-	-	-	-	-	-	-	-	FW:35814	EE:Electrical & Electronics Engineering
Thejus Engineering College, Thrissur	S	44357	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Toc H Institute of Science and Technology, Ernakulam	S	39117	43570	41484	-	42809	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
UKF College of Engineering and Technology, Kollam	S	47661	-	-	-	-	-	-	-	-	-	-	-	-	FW:45872	EE:Electrical & Electronics Engineering
Universal Engineering College, Thrissur	S	52426	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Vidya Academy of Science and Technology, Thrissur	S	34975	45871	44932	-	38748	-	-	-	-	-	52137	-	48748	FW:16656	EE:Electrical & Electronics Engineering
VISAT Engineering College, Ernakulam	S	49860	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Viswajyothi College of Engineering and Technology, Ernakulam	S	47225	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Valia Koonambaikulathamma College of Engineering and Technology, Parippally	S	46784	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Vimal Jyothi Engineering College, Kannur	S	38352	38474	41623	-	-	-	-	-	-	-	46248	-	-		EE:Electrical & Electronics Engineering
Younus College of Engineering and Technology, Kollam	S	45817	-	-	-	-	-	-	-	-	-	-	-	-		EE:Electrical & Electronics Engineering
Federal Institute of Science and Technology, Ernakulam	S	27940	34594	31541	28027	28834	51254	-	-	-	-	-	-	42718	FW:18398	EI:Electronics & Instrumentation
Sarabhai Institute of Science and Technology, Thiruvananthapuram	S	34159	-	-	-	-	-	-	-	-	-	-	-	-		EI:Electronics & Instrumentation
T K M College of Engineering, Kollam	G	3598	5685	4771	6423	6097	17081	7303	14134	-	-	37422	-	6325	FW:3250, PT:10	EL:Electrical and Computer Engineering
College of Engineering, Thiruvananthapuram	G	1458	2781	2369	4045	1463	5601	2636	4406	4317	32171	20847	-	3769		EL:Electrical and Computer Engineering
College of Engineering Kidangoor, KOTTAYAM	N	42419	45157	47862	-	46012	-	-	-	-	-	-	-	52064	FW:25360	EL:Electrical and Computer Engineering
M. Dasan Institute of Technology, Kozhikode	S	49218	-	-	-	-	-	-	-	-	-	-	-	-		EL:Electrical and Computer Engineering
Mar Baselios College of Engineering and Technology, Thiruvananthapuram	S	27942	33734	33865	40909	31130	-	-	-	-	-	-	-	-	FW:19748	EL:Electrical and Computer Engineering
M E A Engineering College, Vengoor	S	41230	-	41750	-	-	-	-	-	-	-	-	-	-		EL:Electrical and Computer Engineering
Toc H Institute of Science and Technology, Ernakulam	S	45101	-	45738	-	-	-	-	-	-	-	-	-	-	FW:22097	EL:Electrical and Computer Engineering
Institute of Engineering and Technology, Malappuram	N	43329	47430	51070	-	50096	-	-	-	-	-	-	-	-		EP:Electronics and Computer Science
LBS Institute of Technology for Women, Thiruvananthapuram	N	20594	25078	24650	22506	21470	-	32877	-	-	-	51315	-	33083	FW:18029, MG:34405	ES:Electronics and Computer Engineering
College of Engineering Perumon, Kollam	N	27478	37369	36113	36322	37710	-	30722	-	-	-	51798	-	34830		ES:Electronics and Computer Engineering
Marian Engineering College, Thiruvananthapuram	S	39204	44742	45472	40752	50890	-	-	-	-	-	-	-	-	FW:35869	ES:Electronics and Computer Engineering
Mohandas College of Engineering and Technology, Thiruvananthapuram	S	47987	-	-	-	-	-	-	-	-	-	-	-	-	FW:50140	ES:Electronics and Computer Engineering
Saintgits College of Engineering, Kottayam	S	29071	33549	34813	-	-	-	42358	49318	-	-	-	-	-	FW:23311	ES:Electronics and Computer Engineering
Mangalam College of Engineering, Kottayam	S	49486	-	-	-	-	-	-	-	-	-	-	-	-		ES:Electronics and Computer Engineering
Sree Buddha College of Engineering, Alappuzha	S	51676	-	-	-	-	-	-	-	-	-	-	-	-		ES:Electronics and Computer Engineering
St Josephs College of Engineering and Technology, Palai	S	36145	42972	45586	-	41367	-	-	-	-	-	51431	-	-	FW:33308	ES:Electronics and Computer Engineering
Thejus Engineering College, Thrissur	S	51345	-	-	-	-	-	-	-	-	-	-	-	-		ES:Electronics and Computer Engineering
Model Engineering College, Ernakulam	N	7256	9843	8119	8774	7538	34729	10190	-	-	-	24217	-	16233	FW:7676, MG:10531	EV:Electronics Engineering (VLSI Design & Technology)
Saintgits College of Engineering, Kottayam	S	50234	-	-	-	-	-	-	-	-	-	-	-	-		EV:Electronics Engineering (VLSI Design & Technology)
SCMS School of Engineering and Technology, Ernakulam	S	38070	40695	40464	-	-	-	-	-	-	-	-	-	-	FW:28194	EV:Electronics Engineering (VLSI Design & Technology)
Sree Narayana Gurukulam College of Engineering, Ernakulam	S	48981	-	-	-	-	-	-	-	-	-	-	-	-		EV:Electronics Engineering (VLSI Design & Technology)
Eranad Knowledge City Technical Campus, Malappuram	S	47812	-	-	-	-	-	-	-	-	-	-	-	-		FS:Safety & Fire Engineering
K M E A Engineering College, Cochin	S	51855	-	-	-	-	-	-	-	-	-	-	-	-	FW:38420	FS:Safety & Fire Engineering
Mangalam College of Engineering, Kottayam	S	45105	-	-	-	-	-	-	-	-	-	-	-	-		FS:Safety & Fire Engineering
Toc H Institute of Science and Technology, Ernakulam	S	34150	35009	35801	41595	-	35903	39672	-	-	-	-	-	-	FW:16365	FS:Safety & Fire Engineering
Verghese Kurien Institue of Dairy & Food Technology, Mannuthy, Thrissur	G	11173	15368	12646	-	-	-	-	48614	-	-	39024	48112	22972		FT:Food Technology
KUFOS, School of Ocean Engineering and Underwater Technology, Ernakulam	G	18529	23292	24272	31626	30472	28922	23537	-	29574	51758	46841	51303	30997		FT:Food Technology
Kelappaji College of Agricultural Engineering and Technology, Tavanur	G	18665	23904	22563	29594	31115	-	-	-	-	-	41662	-	38063		FT:Food Technology
Amal Jyothi College of Engineering, Kottayam	S	50957	-	-	-	-	-	-	-	-	-	51642	-	-		FT:Food Technology
ICCS College of Engineering and Management, Thrissur	S	51661	-	-	-	-	-	-	-	-	-	-	-	-		FT:Food Technology
Ilahia College of Engineering and Technology, Ernakulam	S	49150	-	-	-	-	-	-	-	-	-	-	-	-		FT:Food Technology
Musaliar College Of Engineering, Thiruvananthapuram	S	52346	-	-	-	-	-	-	-	-	-	-	-	-		FT:Food Technology
Saintgits College of Engineering, Kottayam	S	42214	45528	46626	-	-	-	-	-	-	-	52058	46049	-	FW:17198	FT:Food Technology
Sree Buddha College of Engineering, Alappuzha	S	46659	-	-	-	-	-	-	-	-	-	-	-	-		FT:Food Technology
T K M Institute of Technology, Kollam	S	35101	44687	40758	50811	41465	-	44334	-	-	-	46415	-	-	FW:19761	FT:Food Technology
N S S College of Engineering, Palakkad	G	12085	14114	13289	-	13158	13714	15885	41758	-	-	51313	-	20755	CC:33, FW:8828	IC:Instrumentation & Control Engg.
SNM Institute of Management and Technology, Ernakulam	S	49252	-	-	-	-	-	-	-	-	-	-	-	-		IC:Instrumentation & Control Engg.
College of Engineering, Thiruvananthapuram	G	6516	8520	7545	11560	7728	19307	8784	13841	40624	43439	32613	-	12794	CC:6, FW:3921	IE:Industrial Engineering
College of Engineering and Technology, Payyanur	S	52323	-	-	-	-	-	-	-	-	-	-	-	-		IO:Computer Science and Engineering (Internet of Things)
Government Engineering College, Idukki	G	8754	17719	15484	41762	27896	42402	25195	-	-	-	46367	-	38268	FW:11484, PI:56, XS:13673	IT:Information Technology
Government Engineering College, Palakkad	G	8582	10146	9858	18481	10920	39249	8870	21991	-	-	42070	-	11521	FW:7153	IT:Information Technology
Government Engineering College Barton Hill, Thiruvananthapuram	G	5054	6350	6018	9252	5864	11990	5838	6946	43734	30922	34204	-	8722	CC:22, FW:4501, PT:5, SD:8649	IT:Information Technology
LBS College of Engineering, Kasaragod	N	27063	30820	27918	44842	27960	48584	38078	-	-	-	-	-	39108	FW:21550, MG:41507	IT:Information Technology
LBS Institute of Technology for Women, Thiruvananthapuram	N	18082	21170	22065	38740	19101	-	21770	-	-	-	45674	-	20543	FW:12464, MG:31851	IT:Information Technology
College of Engineering,Thalassery, Kannur	N	23971	25970	26611	-	31990	35466	28557	-	47859	-	44782	-	45559	FW:15874	IT:Information Technology
University College of Engineering, Kariavattom, Thiruvananthapuram	N	26830	32526	33984	28623	30900	41359	36738	38354	-	-	52147	-	38371	MG:42814	IT:Information Technology
College of Engineering, Vadakara	N	33474	36342	35453	-	35609	-	36396	-	-	-	-	-	49864	FW:24337	IT:Information Technology
Amal Jyothi College of Engineering, Kottayam	S	34283	39659	40386	36632	36896	-	-	-	-	-	-	-	-	FW:21524	IT:Information Technology
KMCT College of Engineering, Kozhikode	S	44969	-	44992	-	-	-	-	-	-	-	-	-	-	FW:29912	IT:Information Technology
M E A Engineering College, Vengoor	S	37533	46005	37564	-	-	-	-	-	-	-	-	-	-	FW:27208	IT:Information Technology
Rajagiri School of Engineering and Technology, Ernakulam	S	10154	12919	12426	13362	14207	12779	-	-	-	-	-	-	-	FW:9436	IT:Information Technology
Toc H Institute of Science and Technology, Ernakulam	S	26322	29549	29325	27052	38830	-	-	-	-	-	-	-	38858	FW:25628	IT:Information Technology
Viswajyothi College of Engineering and Technology, Ernakulam	S	30675	43304	47512	-	-	-	44109	-	-	-	-	-	-	FW:24073	IT:Information Technology
S C T College of Engineering, Thiruvananthapuram	N	21187	24667	22645	-	-	-	23691	32772	-	-	50306	-	34834	FW:13941, MG:35212	MA:Mechanical Engg. (Automobile)
Amal Jyothi College of Engineering, Kottayam	S	51277	-	-	-	-	-	-	-	-	-	-	-	-		MA:Mechanical Engg. (Automobile)
Sree Narayana Institute of Technology, Adoor	S	38559	-	-	-	-	-	-	-	-	-	-	-	-		MA:Mechanical Engg. (Automobile)
Government Engineering College, Idukki	G	-	19974	18524	49473	25260	47145	30194	43176	-	-	49269	-	49732		ME:Mechanical Engineering
Government Engineering College, Kozhikkode	G	10977	17212	16972	32647	16346	40250	14296	27339	-	45992	43213	40242	20651	FW:10209	ME:Mechanical Engineering
Government College of Engineering, Kannur	G	10969	15624	15679	20140	15380	32999	12118	36295	-	-	46002	-	19247	FW:9996, SD:22037	ME:Mechanical Engineering
Government Rajiv Gandhi Institute of Technology, Kottayam	G	10518	11738	11640	15791	12161	23555	12168	-	-	-	40000	-	13274	FW:7633	ME:Mechanical Engineering
Mar Athanasius College of Engineering, Kothamangalam	G	9966	11230	10823	19091	10723	35983	10635	-	-	15808	43560	-	-	CC:26, FW:8325, SD:21006, XS:10683	ME:Mechanical Engineering
N S S College of Engineering, Palakkad	G	11033	14687	14891	23346	15443	45099	15045	30663	29039	40966	44783	-	16089	FW:9911, SD:46274, XS:12375	ME:Mechanical Engineering
Government Engineering College, Palakkad	G	-	18084	16775	31058	18685	42393	18769	35237	-	-	45962	50815	18279	FW:12304	ME:Mechanical Engineering
Government Engineering College, Thrissur	G	4969	6157	5395	12851	6550	17508	6801	9212	28673	23695	25828	-	9443	FW:3739, PT:15	ME:Mechanical Engineering
T K M College of Engineering, Kollam	G	7177	8321	7799	9762	9191	30954	9603	25092	41144	34838	34498	-	-	CC:8, FW:5416	ME:Mechanical Engineering
Government Engineering College Barton Hill, Thiruvananthapuram	G	8568	9205	9700	10012	11525	25189	11651	12216	26018	44142	39074	-	11672	FW:7830	ME:Mechanical Engineering
College of Engineering, Thiruvananthapuram	G	2745	3268	3532	6230	3426	11251	3455	9029	19928	21365	20181	20988	7123	FW:2073, PD:18834, RP:8009	ME:Mechanical Engineering
Government Engineering College, Wayanad	G	-	21432	19052	50869	26531	46736	30515	37733	-	-	51114	49839	51740	FW:18298	ME:Mechanical Engineering
College of Engineering, Adoor	N	33018	36982	41069	47961	52419	-	37146	-	-	-	52053	-	48138	MG:48303	ME:Mechanical Engineering
College of Engineering Muttathara, Thiruvananthapuram	N	40548	46336	49975	43490	46741	-	45148	-	-	-	51963	-	-		ME:Mechanical Engineering
College of Engineering, Karunagappally, Kollam	N	43755	45367	52184	-	-	-	44469	-	-	-	-	-	-	MG:52304	ME:Mechanical Engineering
LBS College of Engineering, Kasaragod	N	33509	44077	39632	-	36952	-	-	-	-	-	52446	-	48396	MG:51625, XS:47047	ME:Mechanical Engineering
Model Engineering College, Ernakulam	N	10379	11456	10835	12142	11854	32534	11870	-	-	-	38767	-	17303	FW:8757, MG:17270	ME:Mechanical Engineering
College of Engineering, Munnar	N	51050	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
College of Engineering Pathanapuram, Kollam	N	51707	-	-	-	52113	-	52089	-	-	-	-	-	-		ME:Mechanical Engineering
College of Engineering Perumon, Kollam	N	32584	38323	40672	49347	44078	-	39957	-	-	-	50579	-	46221	FW:20167	ME:Mechanical Engineering
College of Engineering and Management Punnnapra	N	52069	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
S C T College of Engineering, Thiruvananthapuram	N	13445	15172	17694	20562	15237	43936	14342	-	-	-	39942	-	24965	FW:12944, MG:23258	ME:Mechanical Engineering
College of Engineering,Thalassery, Kannur	N	35454	38283	41939	49308	40682	-	46932	-	46546	-	-	-	40365	FW:26534	ME:Mechanical Engineering
Institute of Engineering and Technology, Malappuram	N	51965	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Al-Azhar College of Engineering and Technology, Idukki	S	51097	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Al-Ameen Engineering College, Palakkad	S	51066	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Albertian Institute of Science and Technology, Kochi	S	52257	-	-	-	-	-	-	-	-	-	-	-	-	FW:44787	ME:Mechanical Engineering
Amal Jyothi College of Engineering, Kottayam	S	42284	51584	49372	-	45918	-	-	-	-	-	47046	-	-		ME:Mechanical Engineering
Rajadhani Institute of Science and Technology, Palakkad	S	43739	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Adi Shankara Institute of Engineering and Technology, Ernakulam	S	40027	41815	48071	-	-	46378	48101	-	-	-	51141	-	-		ME:Mechanical Engineering
Ahalia School of Engineering and Technology, Palakkad	S	47596	49471	49841	-	50821	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
AWH Engineering College, Kozhikkode	S	52258	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Bishop Jerome Institute, Kollam	S	42716	-	45328	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Baselios Mathews II College of Engineering, Kollam	S	52358	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Christ College of Engineering, Thrissur	S	32066	44673	42425	-	38181	-	-	-	-	-	47927	-	-	FW:24541	ME:Mechanical Engineering
College of Engineering and Technology, Payyanur	S	42417	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Christ Knowledge City, Ernakulam	S	49302	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Carmel College of Engineering and Technology,Alappuzha	S	52052	-	-	-	-	-	-	-	-	-	-	-	-	FW:43910	ME:Mechanical Engineering
M. Dasan Institute of Technology, Kozhikode	S	51860	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Federal Institute of Science and Technology, Ernakulam	S	25011	31471	29063	32601	28812	36799	47870	-	-	51925	49109	-	47030	FW:22022	ME:Mechanical Engineering
Heera College of Engineering and Technology, Thiruvananthapuram	S	49927	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Ilahia College of Engineering and Technology, Ernakulam	S	52191	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
I E S College of Engineering, Thrissur	S	49249	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Jai Bharath College of Management and Engineering Technology, Ernakulam	S	33956	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Jawaharlal College of Engineering and Technology, Palakkad	S	48204	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Jyothi Engineering College, Thrissur	S	42264	-	47571	-	42413	-	44162	-	-	-	-	-	-		ME:Mechanical Engineering
John Cox Memorial C S I Institute of Technology, Thiruvananthapuram	S	38434	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
KMCT College of Engineering, Kozhikode	S	51927	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
K M E A Engineering College, Cochin	S	51674	-	-	-	-	-	-	-	-	-	-	-	-	FW:47585	ME:Mechanical Engineering
Lourdes Matha College of Science and Technology, Thiruvananthapuram	S	52448	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Mar Baselios Christian College of Engineering and Technology,Idukki	S	49533	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Mar Baselios Institute of Technology and Science, Ernakulam	S	50646	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Mar Baselios College of Engineering and Technology, Thiruvananthapuram	S	36487	49828	47773	40610	41491	-	-	51652	-	-	-	-	-	FW:29674	ME:Mechanical Engineering
Marian Engineering College, Thiruvananthapuram	S	46460	49266	48696	48129	-	-	-	-	-	-	-	-	-	FW:34012	ME:Mechanical Engineering
Musaliar College of Engineering and Technology, Pathanamthitta	S	51789	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Mohandas College of Engineering and Technology, Thiruvananthapuram	S	51031	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
MES College of Engineering and Technology, Ernakulam	S	52211	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
MES Institute of Technology and Management, Kollam	S	52209	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Mets School of Engineering, Thrissur	S	48044	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Saintgits College of Engineering, Kottayam	S	42941	51204	46502	-	48340	-	50833	-	-	-	-	-	-	FW:33032	ME:Mechanical Engineering
ACE College Of Engineering, Thiruvananthapuram	S	47025	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Mangalam College of Engineering, Kottayam	S	51330	-	-	-	-	-	-	-	-	-	-	-	-	FW:50550	ME:Mechanical Engineering
Malabar Institute of Technology, Kannur	S	50808	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Muslim Association College of Engineering, Thiruvananthapuram	S	41288	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Muthoot Institute of Technology and Science,Ernakulam	S	21688	24886	25636	27055	25095	-	29834	-	-	-	-	-	40378	FW:19368	ME:Mechanical Engineering
Mount Zion College of Engineering, Pathanamthitta	S	45834	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Nehru College of Engineering and Research Centre, Thrissur	S	51881	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Nirmala College of Engineering Technology and Management, Thirissur	S	40524	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Providence College of Engineering, Chengannur	S	52363	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
Royal College of Engineering and Technology, Thrissur	S	-	-	-	-	-	-	-	-	-	-	-	-	-	FW:46719	ME:Mechanical Engineering
Rajagiri School of Engineering and Technology, Ernakulam	S	24271	30538	25981	26628	27218	43986	40715	-	-	26876	44715	-	-	FW:22137	ME:Mechanical Engineering
Rajadhani Institute of Engineering and Technology, Thiruvananthapuram	S	51148	-	-	-	-	-	-	-	-	-	-	-	-	FW:41272	ME:Mechanical Engineering
Sree Buddha College of Engineering, Alappuzha	S	52065	-	-	-	-	-	-	-	-	-	-	-	-		ME:Mechanical Engineering
SCMS School of Engineering and Technology, Ernakulam	S	38297	43660	46936	50669	42191	-	-	-	-	-	50970	-	42790	FW:30053	ME:Mechanical Engineering
St Josephs College of Engineering and Technology, Palai	S	43659	46104	-	-	-	-	-	-	-	-	-	-	-	FW:39648	ME:Mechanical Engineering
